APU ,Auxiliary Power Unit,Unidade de Força Auxiliar,,,,
APV,Approved or Approve,Aprovado ou Aprovar,,,,
ARC,Area Chart,Carta de Área,,,,
ARCC,Aeronautical Rescue Coordination Centre,Centro de Coordenação de Salvamento Aeronáutico,,,,
ARP,Aerodrome Reference Point,Ponto de Referência de Aeródromo,,,,
ARR,Arrival,Chegada,,,,
AS,Altostratus,Altostratus,,,,
ASD ,Accelerate and Stop Distance,Distância de Aceleração e Parada - Performance da Aeronave,,,,
ASDA,Accelerate and Stop Distance Available,Distância de Aceleração e Parada Disponível - Aeródromo,,,,
ASPH,Asphalt,Asfalto,,,,
ASR,Airport Surveillance Radar,Radar de Vigilância de Aeroporto,,,,
ATA,Actual TIme of Arrival,Hora Real de Chegada,,,,
ATC,Air Traffic Control,Controle de Tráfego Aéreo,,,,
ATD,Actual Time of Departure,Hora Real de Saída,,,,
ATFM,Air Traffic Flow Management,Gerenciamento de Fluxo de Tráfego Aéreo,,,,
ATIS,Automatic Terminal Information Service,Serviço Automático de Informação em Terminal,,,,
ATM,Air Traffic Management,Gerenciamento de Tráfego Aéreo,,,,
ATN,Aeronautical Telecommunication Network,Rede de Telecomunicação Aeronáutica,,,,
ATS ,Air Traffic Service,Serviço de Tráfego Aéreo,,,,
ATSU,Air Traffic Services Unit,Unidade de Serviços de Tráfego Aéreo,,,,
ATTN,Attention,Atenção,,,,
ATZ,Aerodrome Traffic Zone,Zona de Tráfego de Aeródromo,,,,
AUG,August,Agosto,,,,
AUTH,Authorized or Authorization,Autorizado ou Autorização,,,,
AUX,Auxiliary  ,Auxiliar,,,,
AVASIS,Abbreviated Visual Approach Slope Indicator System,Sistema Visual Abreviado de Rampa de Aproximação,,,,
AVBL,Available,Disponível,,,,
AVG,Average,Média,,,,
AVGAS,Aviation Gasoline,Gasolina de Aviação,,,,
AWTA,Advise at What Time Able,Avise a Hora em que Poderá,,,,
AWY,Airway,Aerovia,,,,
AZM,Azimuth,Azimute,,,,
